Compiler,ImportFunctions
Emscripten,./rust_webpack.__widl_f_remove_child_Node
Emscripten,wbg.__wbindgen_is_undefined
Emscripten,env.__cargo_web_snippet_8a049af1e4867892fca647811a9472e4c5832053
Emscripten,./rust_webpack.__wbg_getRandomValues_dc67302a7bd1aec5
Emscripten,./cardano_wallet_browser.__wbindgen_throw
Emscripten,./js_framework_benchmark_simi.__widl_f_clone_node_with_deep_Node
Emscripten,env.__cargo_web_snippet_f750c7bda400081b4d7209f43f9d59214d39f6ea
Emscripten,./rust_webpack.__wbg_call_f6ee70703ec77c6c
Emscripten,wbg.__widl_f_get_element_by_id_Document
Emscripten,wbg.__widl_f_local_storage_Window
Emscripten,wbg.__wbindgen_closure_wrapper137
Emscripten,./rust_webpack.__widl_f_get_element_by_id_Document
Emscripten,wbg.__wbindgen_closure_wrapper130
Emscripten,wbg.__wbg_self_73c7a601ff857345
Emscripten,env.__cargo_web_snippet_94e33648d125cd2293beaeb63deaf9dab113e844
Emscripten,./rust_webpack.__wbg_buffer_d415d67402fcacd5
Emscripten,env.__cargo_web_snippet_a1f43b583e011a9bbeae64030b81f677e6c29005
Emscripten,./rust_webpack.__widl_f_document_Window
Emscripten,./js_framework_benchmark_simi.__wbg_call_582b20dfcad7fee4
Emscripten,./js_framework_benchmark_simi.__widl_f_remove_1_DOMTokenList
Emscripten,env.__cargo_web_snippet_b3b1b707ff3ea1372d58c7b79fadbf6050b79b64
Emscripten,wbg.__widl_f_error_2_
Emscripten,wbg.__widl_f_hostname_Location
Emscripten,./rust_webpack.__wbg_newnoargs_862ffd91d0c97e88
Emscripten,wbg.__wbindgen_closure_wrapper1134
Emscripten,./https_everywhere_lib_wasm.__wbg_new_68180085d411e1be
Emscripten,wbg.__widl_f_remove_child_Node
Emscripten,env.__cargo_web_snippet_4d66721dd755374fa177d86d1c818bf74cc0be84
Emscripten,wbg.__wbg_call_04d7c0ad06df27c9
Emscripten,./index.js.__wbindgen_object_clone_ref
Emscripten,./index.js.__widl_f_class_list_Element
Emscripten,./https_everywhere_lib_wasm.__wbg_next_1dc1c12b3aad066e
Emscripten,./rust_webpack.__widl_f_target_Event
Emscripten,env.__cargo_web_snippet_906f13b1e97c3e6e6996c62d7584c4917315426d
Emscripten,./rust_webpack.__wbg_stack_4931b18709aff089
Emscripten,./rust_webpack.__widl_f_dataset_HTMLElement
Emscripten,./rust_webpack.__wbg_get_9136c910ad341873
Emscripten,wbg.__widl_f_set_fill_style_CanvasRenderingContext2D
Emscripten,wasi_unstable.B
Emscripten,./index.js.__wbindgen_string_new
Emscripten,wbg.__wbindgen_closure_wrapper1111
Emscripten,./index.js.__wbg_newnoargs_8d1797b163dbc9fb
Emscripten,env.__cargo_web_snippet_351b27505bc97d861c3914c20421b6277babb53b
Emscripten,./rust_webpack.__widl_f_get_FileList
Emscripten,wasi_unstable.I
Emscripten,./rust_webpack.__wbg_static_accessor_chrome_bb6f3a4b554d3593
Emscripten,./https_everywhere_lib_wasm.__wbindgen_is_string
Emscripten,./js_framework_benchmark_simi.__wbindgen_string_new
Emscripten,wasi_unstable.path_filestat_get
Emscripten,./rust_webpack.__wbg_encodeURIComponent_3d0193304408f78d
Emscripten,env.js_fill_rand
Emscripten,wbg.__wbindgen_number_new
Emscripten,./rust_webpack.__wbindgen_jsval_eq
Emscripten,env.__cargo_web_snippet_352943ae98b2eeb817e36305c3531d61c7e1a52b
Emscripten,ctx.stroke
Emscripten,wbg.__wbindgen_cb_forget
Emscripten,./js_framework_benchmark_simi.__wbindgen_boolean_get
Emscripten,./index.js.__wbindgen_closure_wrapper92
Emscripten,./rust_webpack.__widl_f_log_1_
Emscripten,./js_framework_benchmark_simi.__wbg_crypto_329b714d7e7d321d
Emscripten,wbg.__widl_f_line_to_CanvasRenderingContext2D
Emscripten,./https_everywhere_lib_wasm.__wbg_length_2a2c78eb761c69a1
Emscripten,./js_framework_benchmark_simi.__widl_f_target_Event
Emscripten,env.__cargo_web_snippet_46518012593da937dd5f35c2fc1c5e1dcade260b
Emscripten,./js_framework_benchmark_simi.__widl_f_query_selector_Element
Emscripten,env.__cargo_web_snippet_9f22d4ca7bc938409787341b7db181f8dd41e6df
Emscripten,wbg.__wbindgen_closure_wrapper135
Emscripten,wbg.__widl_f_restore_CanvasRenderingContext2D
Emscripten,wbg.__wbg_buffer_d31feadf69cb45fc
Emscripten,wbg.__wbindgen_boolean_get
Emscripten,./rust_webpack.__widl_f_set_onload_FileReader
Emscripten,./js_framework_benchmark_simi.__wbindgen_string_get
Emscripten,./rust_webpack.__wbg_randomFillSync_dd2297de5917c74e
Emscripten,./https_everywhere_lib_wasm.__wbindgen_debug_string
Emscripten,wbg.__widl_f_move_to_CanvasRenderingContext2D
Emscripten,wbg.__widl_f_get_random_values_with_u8_array_Crypto
Emscripten,./rust_webpack.__wbg_then_da08fd3391f05a8c
Emscripten,wbg.__wbg_construct_006890aeffd3c5ca
Emscripten,./https_everywhere_lib_wasm.__wbg_get_48d637c66043532c
Emscripten,env.__cargo_web_snippet_285aac3fba72d67cb459d37d4d21aa4fb62598ba
Emscripten,wasi_unstable.E
Emscripten,./js_framework_benchmark_simi.__widl_f_text_content_Node
Emscripten,./rust_webpack.__wbindgen_memory
Emscripten,./index.js.__widl_f_set_text_content_Node
Emscripten,./js_framework_benchmark_simi.__widl_f_remove_event_listener_with_callback_EventTarget
Emscripten,./rust_webpack.__widl_f_length_NodeList
Emscripten,wasi_unstable.K
Emscripten,wasi_unstable.random_get
Emscripten,wasi_unstable.l
Emscripten,wbg.__wbindgen_cb_drop
Emscripten,./js_framework_benchmark_simi.__widl_f_closest_Element
Emscripten,./rust_webpack.__widl_f_remove_attribute_Element
Emscripten,wbg.__wbg_now_4d770e8834dcad1c
Emscripten,wasi_unstable.fd_prestat_dir_name
Emscripten,./js_framework_benchmark_simi.__wbg_new_baf10398b0d0c64d
Emscripten,wbg.__widl_f_crypto_Window
Emscripten,./stringdist.__wbindgen_throw
Emscripten,./js_framework_benchmark_simi.__wbg_require_4a70cbfd3adc73a8
Emscripten,env.__cargo_web_snippet_da2febd72f9938d90bc2bf2905643f595b07abd9
Emscripten,./rust_webpack.__widl_f_visibility_state_Document
Emscripten,wbg.__wbg_length_7d181f10fc1fe14d
Emscripten,./rust_webpack.__wbg_new_0763112334e4d8dd
Emscripten,wbg.__wbindgen_closure_wrapper125
Emscripten,env.__cargo_web_snippet_cd41a77d0178ae27c833ef2950e5f1a48a1455c1
Emscripten,./rust_webpack.__widl_f_result_FileReader
Emscripten,./js_framework_benchmark_simi.__widl_f_set_inner_html_Element
Emscripten,env.__cargo_web_snippet_6bc2fd17ec363ef98d2b51edf91a221b12c51bab
Emscripten,./rust_webpack.__wbg_set_b11ab2f85bb06cfd
Emscripten,wasi_unstable.fd_fdstat_set_flags
Emscripten,./js_framework_benchmark_simi.__widl_f_remove_child_Node
Emscripten,wbg.__wbg_has_4c6784338d6c97e4
Emscripten,./rust_webpack.__widl_f_fetch_with_request_Window
Emscripten,./rust_webpack.__wbg_new_73c7b9beced23b50
Emscripten,./index.js.__widl_instanceof_HTMLElement
Emscripten,env.__cargo_web_snippet_d4e7bbbc593dd4ffbe97c262683c5a8447657985
Emscripten,env.__cargo_web_snippet_bb618d13cbb219642bd219af99ee1519e5658d77
Emscripten,wbg.__wbg_get_29e4778509052d58
Emscripten,wbg.__wbg_isArray_400c310267077da6
Emscripten,wbg.__wbg_window_ca735e04cb2b0566
Emscripten,env.__cargo_web_snippet_7c8dfab835dc8a552cd9d67f27d26624590e052c
Emscripten,./rust_webpack.__widl_f_text_Response
Emscripten,wbg.__widl_f_document_Window
Emscripten,wasi_unstable.clock_time_get
Emscripten,./rust_webpack.__widl_f_revoke_object_url_URL
Emscripten,wbg.__wbindgen_object_clone_ref
Emscripten,./index.js.__wbg_setattribute_38575b25fc9198f7
Emscripten,wbg.__widl_f_new_TextEncoder
Emscripten,./rust_webpack.__wbindgen_cb_forget
Emscripten,./rust_webpack.__wbg_then_02bd2de012e8afa8
Emscripten,./rust_webpack.__widl_f_create_element_Document
Emscripten,./https_everywhere_lib_wasm.__wbg_valueOf_c4ec2eaaa602f4f8
Emscripten,./https_everywhere_lib_wasm.__wbg_isArray_1ac2d66dd819d58a
Emscripten,wbg.__wbg_call_d86117a976521458
Emscripten,wbg.__wbg_newnoargs_6ad69a50998c5acb
Emscripten,./index.js.__widl_f_remove_Element
Emscripten,./rust_webpack.__wbindgen_object_clone_ref
Emscripten,wbg.__widl_f_new_TextDecoder
Emscripten,./rust_webpack.__wbindgen_string_new
Emscripten,./https_everywhere_lib_wasm.__wbg_push_60b55c9bdc824202
Emscripten,./rust_webpack.__widl_f_new_FileReader
Emscripten,./rust_webpack.__wbg_now_4f258c4df6468ada
