Compiler,ImportFunctions
Binaryen,./rust_webpack.__widl_f_item_NodeList
Binaryen,./index.js.__widl_f_next_sibling_Node
Binaryen,./js_framework_benchmark_simi.__wbg_newnoargs_6a80f84471205fc8
Binaryen,env.__cargo_web_snippet_97495987af1720d8a9a923fa4683a7b683e3acd6
Binaryen,./index.js.__widl_f_add_event_listener_with_callback_EventTarget
Binaryen,ctx.beginPath
Binaryen,Math.sin
Binaryen,wbg.__widl_f_url_Response
Binaryen,wbg.__wbg_call_fdde574e8abf6327
Binaryen,./index.js.__wbindgen_object_drop_ref
Binaryen,./rust_webpack.__wbg_set_f8046b3bf0f3406a
Binaryen,./https_everywhere_lib_wasm.__wbindgen_boolean_get
Binaryen,./rust_webpack.__wbindgen_closure_wrapper256
Binaryen,env.__cargo_web_snippet_199d5eb25dfe761687bcd487578eb7e636bd9650
Binaryen,./rust_webpack.__widl_f_remove_child_Node
Binaryen,wbg.__wbindgen_is_undefined
Binaryen,env.__cargo_web_snippet_8a049af1e4867892fca647811a9472e4c5832053
Binaryen,./rust_webpack.__wbg_getRandomValues_dc67302a7bd1aec5
Binaryen,./cardano_wallet_browser.__wbindgen_throw
Binaryen,./js_framework_benchmark_simi.__widl_f_clone_node_with_deep_Node
Binaryen,env.__cargo_web_snippet_f750c7bda400081b4d7209f43f9d59214d39f6ea
Binaryen,./rust_webpack.__wbg_call_f6ee70703ec77c6c
Binaryen,wbg.__widl_f_get_element_by_id_Document
Binaryen,wbg.__widl_f_local_storage_Window
Binaryen,wbg.__wbindgen_closure_wrapper137
Binaryen,./rust_webpack.__widl_f_get_element_by_id_Document
Binaryen,wbg.__wbindgen_closure_wrapper130
Binaryen,wbg.__wbg_self_73c7a601ff857345
Binaryen,env.__cargo_web_snippet_94e33648d125cd2293beaeb63deaf9dab113e844
Binaryen,./rust_webpack.__wbg_buffer_d415d67402fcacd5
Binaryen,env.__cargo_web_snippet_a1f43b583e011a9bbeae64030b81f677e6c29005
Binaryen,./rust_webpack.__widl_f_document_Window
Binaryen,./js_framework_benchmark_simi.__wbg_call_582b20dfcad7fee4
Binaryen,./js_framework_benchmark_simi.__widl_f_remove_1_DOMTokenList
Binaryen,env.__cargo_web_snippet_b3b1b707ff3ea1372d58c7b79fadbf6050b79b64
Binaryen,wbg.__widl_f_error_2_
Binaryen,wbg.__widl_f_hostname_Location
Binaryen,./rust_webpack.__wbg_newnoargs_862ffd91d0c97e88
Binaryen,wbg.__wbindgen_closure_wrapper1134
Binaryen,./https_everywhere_lib_wasm.__wbg_new_68180085d411e1be
Binaryen,wbg.__widl_f_remove_child_Node
Binaryen,env.__cargo_web_snippet_4d66721dd755374fa177d86d1c818bf74cc0be84
Binaryen,wbg.__wbg_call_04d7c0ad06df27c9
Binaryen,./index.js.__wbindgen_object_clone_ref
Binaryen,./index.js.__widl_f_class_list_Element
Binaryen,./https_everywhere_lib_wasm.__wbg_next_1dc1c12b3aad066e
Binaryen,./rust_webpack.__widl_f_target_Event
Binaryen,env.__cargo_web_snippet_906f13b1e97c3e6e6996c62d7584c4917315426d
Binaryen,./rust_webpack.__wbg_stack_4931b18709aff089
Binaryen,./rust_webpack.__widl_f_dataset_HTMLElement
Binaryen,./rust_webpack.__wbg_get_9136c910ad341873
Binaryen,wbg.__widl_f_set_fill_style_CanvasRenderingContext2D
Binaryen,wasi_unstable.B
Binaryen,./index.js.__wbindgen_string_new
Binaryen,wbg.__wbindgen_closure_wrapper1111
Binaryen,./index.js.__wbg_newnoargs_8d1797b163dbc9fb
Binaryen,env.__cargo_web_snippet_351b27505bc97d861c3914c20421b6277babb53b
Binaryen,./rust_webpack.__widl_f_get_FileList
Binaryen,wasi_unstable.I
Binaryen,./rust_webpack.__wbg_static_accessor_chrome_bb6f3a4b554d3593
Binaryen,./https_everywhere_lib_wasm.__wbindgen_is_string
Binaryen,./js_framework_benchmark_simi.__wbindgen_string_new
Binaryen,wasi_unstable.path_filestat_get
Binaryen,./rust_webpack.__wbg_encodeURIComponent_3d0193304408f78d
Binaryen,env.js_fill_rand
Binaryen,wbg.__wbindgen_number_new
Binaryen,./rust_webpack.__wbindgen_jsval_eq
Binaryen,env.__cargo_web_snippet_352943ae98b2eeb817e36305c3531d61c7e1a52b
Binaryen,ctx.stroke
Binaryen,wbg.__wbindgen_cb_forget
Binaryen,./js_framework_benchmark_simi.__wbindgen_boolean_get
Binaryen,./index.js.__wbindgen_closure_wrapper92
Binaryen,./rust_webpack.__widl_f_log_1_
Binaryen,./js_framework_benchmark_simi.__wbg_crypto_329b714d7e7d321d
Binaryen,wbg.__widl_f_line_to_CanvasRenderingContext2D
Binaryen,./https_everywhere_lib_wasm.__wbg_length_2a2c78eb761c69a1
Binaryen,./js_framework_benchmark_simi.__widl_f_target_Event
Binaryen,env.__cargo_web_snippet_46518012593da937dd5f35c2fc1c5e1dcade260b
Binaryen,./js_framework_benchmark_simi.__widl_f_query_selector_Element
Binaryen,env.__cargo_web_snippet_9f22d4ca7bc938409787341b7db181f8dd41e6df
Binaryen,wbg.__wbindgen_closure_wrapper135
Binaryen,wbg.__widl_f_restore_CanvasRenderingContext2D
Binaryen,wbg.__wbg_buffer_d31feadf69cb45fc
