Compiler,ImportFunctions
wasm-bindgen,wbg.__wbindgen_is_undefined
wasm-bindgen,env.__cargo_web_snippet_8a049af1e4867892fca647811a9472e4c5832053
wasm-bindgen,./rust_webpack.__wbg_getRandomValues_dc67302a7bd1aec5
wasm-bindgen,./cardano_wallet_browser.__wbindgen_throw
wasm-bindgen,./js_framework_benchmark_simi.__widl_f_clone_node_with_deep_Node
wasm-bindgen,env.__cargo_web_snippet_f750c7bda400081b4d7209f43f9d59214d39f6ea
wasm-bindgen,./rust_webpack.__wbg_call_f6ee70703ec77c6c
wasm-bindgen,wbg.__widl_f_get_element_by_id_Document
wasm-bindgen,wbg.__widl_f_local_storage_Window
wasm-bindgen,wbg.__wbindgen_closure_wrapper137
wasm-bindgen,./rust_webpack.__widl_f_get_element_by_id_Document
wasm-bindgen,wbg.__wbindgen_closure_wrapper130
wasm-bindgen,wbg.__wbg_self_73c7a601ff857345
wasm-bindgen,env.__cargo_web_snippet_94e33648d125cd2293beaeb63deaf9dab113e844
wasm-bindgen,./rust_webpack.__wbg_buffer_d415d67402fcacd5
wasm-bindgen,env.__cargo_web_snippet_a1f43b583e011a9bbeae64030b81f677e6c29005
wasm-bindgen,./rust_webpack.__widl_f_document_Window
wasm-bindgen,./js_framework_benchmark_simi.__wbg_call_582b20dfcad7fee4
wasm-bindgen,./js_framework_benchmark_simi.__widl_f_remove_1_DOMTokenList
wasm-bindgen,env.__cargo_web_snippet_b3b1b707ff3ea1372d58c7b79fadbf6050b79b64
wasm-bindgen,wbg.__widl_f_error_2_
wasm-bindgen,wbg.__widl_f_hostname_Location
wasm-bindgen,./rust_webpack.__wbg_newnoargs_862ffd91d0c97e88
wasm-bindgen,wbg.__wbindgen_closure_wrapper1134
wasm-bindgen,./https_everywhere_lib_wasm.__wbg_new_68180085d411e1be
wasm-bindgen,wbg.__widl_f_remove_child_Node
wasm-bindgen,env.__cargo_web_snippet_4d66721dd755374fa177d86d1c818bf74cc0be84
wasm-bindgen,wbg.__wbg_call_04d7c0ad06df27c9
wasm-bindgen,./index.js.__wbindgen_object_clone_ref
wasm-bindgen,./index.js.__widl_f_class_list_Element
wasm-bindgen,./https_everywhere_lib_wasm.__wbg_next_1dc1c12b3aad066e
wasm-bindgen,./rust_webpack.__widl_f_target_Event
wasm-bindgen,env.__cargo_web_snippet_906f13b1e97c3e6e6996c62d7584c4917315426d
wasm-bindgen,./rust_webpack.__wbg_stack_4931b18709aff089
wasm-bindgen,./rust_webpack.__widl_f_dataset_HTMLElement
wasm-bindgen,./rust_webpack.__wbg_get_9136c910ad341873
wasm-bindgen,wbg.__widl_f_set_fill_style_CanvasRenderingContext2D
wasm-bindgen,wasi_unstable.B
wasm-bindgen,./index.js.__wbindgen_string_new
wasm-bindgen,wbg.__wbindgen_closure_wrapper1111
wasm-bindgen,./index.js.__wbg_newnoargs_8d1797b163dbc9fb
wasm-bindgen,env.__cargo_web_snippet_351b27505bc97d861c3914c20421b6277babb53b
wasm-bindgen,./rust_webpack.__widl_f_get_FileList
wasm-bindgen,wasi_unstable.I
wasm-bindgen,./rust_webpack.__wbg_static_accessor_chrome_bb6f3a4b554d3593
wasm-bindgen,./https_everywhere_lib_wasm.__wbindgen_is_string
wasm-bindgen,./js_framework_benchmark_simi.__wbindgen_string_new
wasm-bindgen,wasi_unstable.path_filestat_get
wasm-bindgen,./rust_webpack.__wbg_encodeURIComponent_3d0193304408f78d
wasm-bindgen,env.js_fill_rand
wasm-bindgen,wbg.__wbindgen_number_new
wasm-bindgen,./rust_webpack.__wbindgen_jsval_eq
wasm-bindgen,env.__cargo_web_snippet_352943ae98b2eeb817e36305c3531d61c7e1a52b
wasm-bindgen,ctx.stroke
wasm-bindgen,wbg.__wbindgen_cb_forget
wasm-bindgen,./js_framework_benchmark_simi.__wbindgen_boolean_get
wasm-bindgen,./index.js.__wbindgen_closure_wrapper92
wasm-bindgen,./rust_webpack.__widl_f_log_1_
wasm-bindgen,./js_framework_benchmark_simi.__wbg_crypto_329b714d7e7d321d
wasm-bindgen,wbg.__widl_f_line_to_CanvasRenderingContext2D
wasm-bindgen,./https_everywhere_lib_wasm.__wbg_length_2a2c78eb761c69a1
wasm-bindgen,./js_framework_benchmark_simi.__widl_f_target_Event
wasm-bindgen,env.__cargo_web_snippet_46518012593da937dd5f35c2fc1c5e1dcade260b
wasm-bindgen,./js_framework_benchmark_simi.__widl_f_query_selector_Element
wasm-bindgen,env.__cargo_web_snippet_9f22d4ca7bc938409787341b7db181f8dd41e6df
wasm-bindgen,wbg.__wbindgen_closure_wrapper135
wasm-bindgen,wbg.__widl_f_restore_CanvasRenderingContext2D
wasm-bindgen,wbg.__wbg_buffer_d31feadf69cb45fc
wasm-bindgen,wbg.__wbindgen_boolean_get
wasm-bindgen,./rust_webpack.__widl_f_set_onload_FileReader
wasm-bindgen,./js_framework_benchmark_simi.__wbindgen_string_get
wasm-bindgen,./rust_webpack.__wbg_randomFillSync_dd2297de5917c74e
wasm-bindgen,./https_everywhere_lib_wasm.__wbindgen_debug_string
wasm-bindgen,wbg.__widl_f_move_to_CanvasRenderingContext2D
wasm-bindgen,wbg.__widl_f_get_random_values_with_u8_array_Crypto
wasm-bindgen,./rust_webpack.__wbg_then_da08fd3391f05a8c
wasm-bindgen,wbg.__wbg_construct_006890aeffd3c5ca
wasm-bindgen,./https_everywhere_lib_wasm.__wbg_get_48d637c66043532c
wasm-bindgen,env.__cargo_web_snippet_285aac3fba72d67cb459d37d4d21aa4fb62598ba
wasm-bindgen,wasi_unstable.E
wasm-bindgen,./js_framework_benchmark_simi.__widl_f_text_content_Node
wasm-bindgen,./rust_webpack.__wbindgen_memory
wasm-bindgen,./index.js.__widl_f_set_text_content_Node
wasm-bindgen,./js_framework_benchmark_simi.__widl_f_remove_event_listener_with_callback_EventTarget
wasm-bindgen,./rust_webpack.__widl_f_length_NodeList
wasm-bindgen,wasi_unstable.K
wasm-bindgen,wasi_unstable.random_get
wasm-bindgen,wasi_unstable.l
wasm-bindgen,wbg.__wbindgen_cb_drop
