"ID","IssueID","BugFixCommitID","Filename","FunctionName","InFirstLineOfPatch","Language","RawURL"
48,59442,83379,src/ecmascript_simd.js,SIMD.Int32x4.swizzle,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
49,59442,83379,src/ecmascript_simd.js,SIMD.Int32x4.shuffle,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
50,59442,83379,src/ecmascript_simd.js,SIMD.Int16x8,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
51,59442,83379,src/ecmascript_simd.js,SIMD.Int16x8.extractLane,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
52,59442,83379,src/ecmascript_simd.js,SIMD.Int16x8.swizzle,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
53,59442,83379,src/ecmascript_simd.js,SIMD.Int16x8.shuffle,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
54,59442,83379,src/ecmascript_simd.js,SIMD.Int8x16.extractLane,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
55,59442,83379,src/ecmascript_simd.js,SIMD.Uint32x4,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
56,59442,83379,src/ecmascript_simd.js,SIMD.Uint32x4.extractLane,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
57,59442,83379,src/ecmascript_simd.js,SIMD.Uint32x4.swizzle,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
58,59442,83379,src/ecmascript_simd.js,SIMD.Uint32x4.shuffle,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
59,59442,83379,src/ecmascript_simd.js,SIMD.Uint16x8,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
60,59442,83379,src/ecmascript_simd.js,SIMD.Uint16x8.extractLane,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
61,59442,83379,src/ecmascript_simd.js,SIMD.Uint16x8.swizzle,0,TS,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/src/ecmascript_simd.js
