URL,Language,Bug Inducing Input Location,Purpose,Tested API,Root Cause,Root Cause Category,Root Cause SubCategory,Bug Fix,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/4994,C,https://github.com/emscripten-core/emscripten/issues/4994#issue-211495143,IndexedDB,"__emscripten_fetch_delete_cached_data, EM_IDB_DELETE, emscripten_fetch_attr_init, emscripten_fetch",Runtime dependency setup is missing __emscripten_fetch_delete_cached_data function,Missing Symbol,,Add missing function to init function,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/10205,C,https://github.com/emscripten-core/emscripten/issues/10205#issuecomment-576985404,SDL,"SDL_Init, SDL_LogError",Optimization fails when libraries depend on function provided through JavaScript support code,Missing Symbol,,Fix optimizer to warn when missing function instead of crashing,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/7417,C++,https://github.com/emscripten-core/emscripten/issues/7417#issuecomment-435007276,Socket/Net,"getaddrinfo, struct addrinfo *",Certain networking functions are not implementable on the web and return placeholder IPs,Missing Symbol,,Implement in JS,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/7323,C,https://github.com/emscripten-core/emscripten/issues/7323#issuecomment-432439885,Inlining,EM_JS,UTF-8 characters broke EM_ASM and EM_JS ,Parsing,,Properly encode string as UTF-8,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/6519,C++,https://github.com/emscripten-core/emscripten/issues/6519#issuecomment-388333784,Closure Compiler,emscripten_worker_respond,Closure compiler missing function declarations for worker onmessage,Missing Symbol,,Add mising closure extern declaration,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/6425,C,https://github.com/emscripten-core/emscripten/issues/6425#issuecomment-378821429,Floating Point Values,"typedef float, sinf",Missing float coersions in emterpreter async mode,Data Type Incompatibilities,Compiler Casting,Add float coersions,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/6213,C,https://github.com/emscripten-core/emscripten/issues/6213#issuecomment-364277995,Inlining,asm,EM_ASM not supported in llvm wasm backend,Missing Symbol,,Implement EM_ASM as formatted string,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/5940,C++,https://github.com/emscripten-core/emscripten/issues/5940#issuecomment-352272116,Inlining,"Module.Pointer_stringify, SDL_Init, SDL_CreateWindow, SDL_DestroyWindow",SDL does not automatically export Module.Pointer_stringify function to use with EM_ASM,Missing Symbol,,SDL exports Pointer_stringify automatically,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/5586,C++,https://drive.google.com/open?id=0B462aSLeSsPMUFhnNW1iYzhjeHM,Function Export,,Module setting exports all methods by default,Emit Unneeded Symbol,,Change setting to not export all methods by default,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/10403,C++,https://github.com/emscripten-core/emscripten/issues/10403#issue-562190683,Unresolved Symbol,"wordexp_t, wordexp, wordfree",Wordexp header excluded from build,Missing Symbol,,Wordexp.h removed from exclusion list,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/10179,C,https://github.com/emscripten-core/emscripten/issues/10179#issue-547808854,"Inlining, Memory",GROWABLE_HEAP_VIEW_I32,Array bounds are shifted unnecessarily,Other,,Array bounds are fixed,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/10051,C,https://github.com/emscripten-core/emscripten/issues/10051#issuecomment-566232729,HTML5,"emscripten_set_main_loop_timing, emscripten_set_interval, emscripten_set_main_loop",Document shows rendering warning when document is not rendered to page,Synchronous/Asynchronous,,Addition check in document hidden attribute added to error print condition,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/9823,C,https://github.com/emscripten-core/emscripten/issues/9823#issue-521448554,"Emterpreter, SDL","emscripten_sleep_with_yeld, emsripten_sleep, SDL.audio.queueNewAudioData, SDL.audio.yieldCallback",Sleep callbacks not called in emterpreter asyncify mode,Synchronous/Asynchronous,,Add sleep callbacks,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/9206,C++,https://github.com/emscripten-core/emscripten/issues/9206#issue-479391268,Asyncify,"f(bool,bool)",ASYNCIFY_WHITELIST command fails to parse inputs correctly on Windows,Platform Differences,,Add support to specify arguments through a file to avoid command line parsing,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/9154,C,https://github.com/emscripten-core/emscripten/files/3466945/conftests.zip,Socket/Net,"getnameinfo, getpeername",Socket libraries missing some dependency code,Missing Symbol,,Add missing dependencies to socket libraries,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/9097,C,https://github.com/emscripten-core/emscripten/issues/9097#issue-473622987,HTML5,"emscripten_request_fullscreen_strategy, emscripten_exit_fullscreen, emscripten_set_canvas_element_size, emscripten_set_fullscreenchange_callback, emscripten_set_keydown_callback, emscripten_set_main_loop",Resized callback called in incorrect order when leaving fullscreen ,Faulty Program Logic,,Fix callback ordering,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/9068,C,https://github.com/emscripten-core/emscripten/issues/9068#issue-472353373,Inlining,EM_ASM,Emcc incorrectly handles newlines on non-Windows platforms,Platform Differences,,Fix newline replacement,,,,,,,,,,
https://github.com/emscripten-core/emscripten/issues/9030,C++,https://github.com/emscripten-core/emscripten/issues/9030#issue-470351883,Inlining,EM_ASM,"Inlining causes passed arguments to be evaluated twice, affecting values that cause side-effects",Faulty Program Logic,,Change function to get argument types to prevent executing arguments to EM_ASM,,,,,,,,,,
